type,price,location,area,bedrooms,bathrooms,kitchens,parking_spaces,Luxury_catogory,built_in_type
House,12.75,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,2.25,E-11,5.8,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,0.33,C-18,1.4,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,3.45,C-18,20.0,6.0,6.0,2.0,3.0,Medium,New Property
Flat,0.4,Bahria Town,2.4,1.0,1.0,1.0,2.0,High,New Property
House,70.0,E-7,32.0,6.0,6.0,2.0,7.0,High,New Property
Flat,0.5,G-13,1.9,1.0,1.0,1.0,3.0,Medium,New Property
House,3.2,B-17,8.0,4.0,6.0,3.0,1.0,Low,New Property
Flat,1.63,Bahria Town,5.6,2.0,2.0,1.0,2.0,High,New Property
House,3.5,Bahria Town,8.0,5.0,5.0,2.0,2.0,Low,New Property
Flat,9.2,Karakoram Diplomatic Enclave,9.6,2.0,3.0,1.0,2.0,Low,Relatively New Property
House,2.38,Faisal Town - F-18,5.0,4.0,5.0,3.0,1.0,Low,Relatively New Property
House,18.0,F-6,17.8,5.0,5.0,1.0,3.0,High,Moderately old Property
House,2.25,Bahria Town,8.0,3.0,4.0,2.0,1.0,Medium,New Property
Flat,4.0,F-10,10.2,3.0,3.0,1.0,1.0,Medium,Moderately old Property
Flat,0.75,E-11,2.0,1.0,1.0,1.0,1.0,Low,Relatively New Property
Flat,3.6,DHA Defence,11.1,3.0,3.0,1.0,1.0,High,Relatively New Property
Flat,0.52,H-13,1.8,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,0.8,G-13,6.0,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,1.85,I-10,4.0,2.0,2.0,1.0,1.0,Medium,Moderately old Property
House,4.7,Bahria Town,10.0,5.0,5.0,2.0,2.0,Low,New Property
House,15.0,I-8,12.4,6.0,6.0,2.0,4.0,Medium,Old Property
Flat,0.8,Gulberg,3.2,1.0,1.0,1.0,1.0,High,New Property
Flat,2.2,F-11,7.6,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,0.85,B-17,4.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,14.0,DHA Defence,20.0,5.0,6.0,3.0,2.0,High,Relatively New Property
Flat,1.45,E-11,3.8,2.0,2.0,1.0,1.0,High,Moderately old Property
House,0.6,H-13,3.0,2.0,2.0,2.0,1.0,High,New Property
House,1.94,B-17,5.0,4.0,6.0,2.0,1.0,High,New Property
Flat,0.37,Multi Residencia & Orchards,1.5,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,41.0,F-7,26.0,9.0,3.0,1.0,1.0,High,New Property
Flat,1.55,Bahria Town,5.6,2.0,2.0,1.0,1.0,Low,New Property
Flat,2.08,G-15,6.9,3.0,3.0,1.0,2.0,Medium,Relatively New Property
House,1.8,C-18,10.0,4.0,6.0,2.0,2.0,Low,New Property
House,11.0,DHA Defence,20.0,6.0,6.0,2.0,3.0,Low,New Property
Flat,1.38,G-13,9.1,3.0,3.0,1.0,2.0,Low,Relatively New Property
Flat,3.35,DHA Defence,12.7,3.0,4.0,1.0,2.0,Low,Relatively New Property
House,5.3,Bahria Town,10.0,7.0,6.0,3.0,2.0,Medium,New Property
Flat,0.44,Gulberg,1.4,2.0,1.0,1.0,2.0,High,New Property
House,7.0,Kashmir Highway,10.0,4.0,5.0,1.0,2.0,Medium,New Property
House,40.0,F-6,40.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
House,50.0,E-7,24.0,6.0,6.0,3.0,6.0,High,Relatively New Property
House,3.5,Bani Gala,12.0,6.0,6.0,2.0,2.0,Low,New Property
Flat,1.65,D-17,6.5,3.0,3.0,1.0,1.0,High,Relatively New Property
House,3.75,G-13,4.0,4.0,5.0,1.0,2.0,Medium,Relatively New Property
Flat,1.1,E-11,3.8,1.0,1.0,1.0,1.0,Medium,Relatively New Property
Flat,4.8,Blue Area,4.4,1.0,1.0,1.0,1.0,Medium,New Property
House,3.6,G-16,8.0,5.0,5.0,2.0,2.0,Medium,New Property
Flat,0.81,Gulberg,2.8,1.0,1.0,1.0,1.0,High,Relatively New Property
House,4.0,Gulberg,7.0,6.0,6.0,1.0,1.0,Low,Moderately old Property
Flat,3.7,G-11,9.3,3.0,3.0,1.0,1.0,Low,New Property
House,10.5,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
House,9.5,D-12,10.0,5.0,5.0,1.0,2.0,High,New Property
House,5.65,Bahria Town,10.0,5.0,6.0,2.0,2.0,High,New Property
Flat,0.75,Bahria Town,2.8,1.0,1.0,1.0,3.0,Medium,New Property
House,4.35,B-17,10.0,6.0,6.0,2.0,4.0,High,Moderately old Property
Flat,2.55,DHA Defence,11.7,3.0,4.0,2.0,1.0,High,New Property
Flat,1.8,Kashmir Highway,3.3,1.0,2.0,1.0,1.0,High,New Property
House,5.35,G-10,8.0,4.0,4.0,3.0,2.0,Low,Relatively New Property
Flat,0.22,Soan Garden,1.2,2.0,1.0,1.0,1.0,Medium,Moderately old Property
Flat,0.68,B-17,3.4,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,3.7,F-11,12.0,3.0,3.0,1.0,2.0,Medium,Old Property
Flat,7.9,Diplomatic Enclave,13.3,4.0,4.0,1.0,2.0,Medium,Relatively New Property
House,1.55,DHA Defence,8.0,3.0,4.0,2.0,2.0,Medium,Relatively New Property
Flat,0.85,DHA Defence,3.6,2.0,2.0,1.0,2.0,High,Relatively New Property
House,10.5,I-8,14.2,3.0,3.0,1.0,3.0,Medium,Old Property
House,4.3,Bahria Town,10.0,5.0,6.0,2.0,3.0,High,New Property
House,5.45,PWD Housing Scheme,14.0,7.0,6.0,3.0,4.0,Medium,New Property
Flat,0.76,G-13,6.0,2.0,2.0,1.0,2.0,High,New Property
House,30.0,F-8,26.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
House,26.5,F-8,20.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,1.1,D-17,4.2,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.62,G-13,5.1,2.0,2.0,1.0,3.0,Medium,New Property
Flat,3.8,G-11,8.0,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,6.5,F-10,7.8,3.0,3.0,1.0,1.0,High,New Property
Flat,0.95,E-11,3.6,1.0,1.0,1.0,1.0,Low,Moderately old Property
Flat,0.6,Multi Residencia & Orchards,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.8,E-11,4.0,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.65,Gulberg,4.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,4.25,F-11,12.4,2.0,3.0,1.0,2.0,High,Old Property
House,14.5,I-8,14.2,6.0,6.0,2.0,2.0,High,Relatively New Property
Flat,8.5,F-10,8.7,3.0,3.0,2.0,2.0,Low,Relatively New Property
Flat,0.85,Gulberg,3.2,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.05,G-15,2.8,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,12.5,DHA Defence,20.0,5.0,5.0,2.0,3.0,Medium,Relatively New Property
House,7.0,G-15,20.0,6.0,6.0,2.0,5.0,High,New Property
House,14.5,DHA Defence,20.0,5.0,5.0,1.0,3.0,Medium,New Property
House,32.0,F-8,32.0,7.0,3.0,2.0,2.0,Low,Relatively New Property
House,7.85,DHA Defence,20.0,8.0,6.0,3.0,3.0,Low,Old Property
Flat,1.1,Bahria Town,2.9,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,9.5,G-13,10.9,6.0,6.0,1.0,1.0,High,Relatively New Property
House,2.95,Soan Garden,6.0,5.0,5.0,2.0,2.0,Low,Relatively New Property
House,8.75,D-12,8.0,6.0,6.0,2.0,2.0,High,New Property
Flat,0.55,Faisal Town - F-18,3.6,1.0,1.0,1.0,1.0,High,New Property
Flat,1.5,G-15,4.8,2.0,2.0,2.0,3.0,High,New Property
Flat,1.5,G-15,4.8,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,2.5,Ghauri Town,7.0,8.0,6.0,3.0,1.0,Medium,Moderately old Property
Flat,1.7,D-17,7.0,3.0,3.0,1.0,3.0,High,New Property
House,9.7,DHA Defence,20.0,6.0,6.0,2.0,4.0,Medium,New Property
Flat,0.4,Korang Town,2.2,1.0,1.0,1.0,1.0,High,New Property
Flat,1.1,DHA Defence,4.2,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,3.8,Kashmir Highway,7.3,2.0,2.0,1.0,2.0,High,Relatively New Property
Flat,3.35,G-11,7.3,2.0,2.0,1.0,1.0,Low,New Property
Flat,0.93,Faisal Town - F-18,2.6,1.0,1.0,1.0,3.0,Low,Relatively New Property
Flat,0.98,E-11,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.8,I-16,6.6,4.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,1.45,Bahria Town,6.4,2.0,2.0,2.0,1.0,Medium,New Property
Flat,0.8,Gulberg,3.0,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.32,B-17,1.6,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,12.5,DHA Defence,20.0,6.0,6.0,1.0,1.0,High,Moderately old Property
Flat,3.5,E-11,8.2,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,3.75,G-11,5.6,2.0,2.0,1.0,2.0,High,Relatively New Property
House,10.85,G-13,14.0,6.0,6.0,2.0,3.0,Medium,New Property
House,14.0,DHA Defence,20.0,5.0,6.0,1.0,3.0,High,New Property
Flat,2.45,E-11,10.2,4.0,4.0,2.0,5.0,High,Relatively New Property
House,2.2,Pakistan Town,5.0,4.0,4.0,1.0,2.0,Low,Relatively New Property
House,4.1,DHA Defence,7.8,4.0,5.0,1.0,2.0,Low,New Property
House,4.75,Bahria Town,10.0,7.0,6.0,2.0,2.0,Low,Relatively New Property
House,30.0,F-7,20.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
House,10.8,G-13,14.0,6.0,6.0,2.0,3.0,Low,New Property
Flat,7.0,F-11,14.2,4.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,0.36,I-12,3.9,2.0,2.0,1.0,1.0,Medium,New Property
Flat,0.6,River Garden,2.9,1.0,1.0,1.0,1.0,High,New Property
Flat,1.1,DHA Defence,4.9,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,3.25,G-8,5.2,3.0,3.0,1.0,1.0,Low,New Property
House,14.5,DHA Defence,20.0,5.0,5.0,2.0,3.0,High,New Property
Flat,1.75,Gulberg,5.5,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,3.25,B-17,10.0,6.0,6.0,2.0,3.0,High,New Property
House,25.5,F-11,26.0,8.0,6.0,3.0,5.0,High,Relatively New Property
House,4.5,Bahria Town,10.0,4.0,5.0,1.0,2.0,Medium,New Property
Flat,0.75,I-16,6.7,3.0,3.0,1.0,2.0,Medium,Relatively New Property
House,40.0,F-7,26.0,8.0,6.0,3.0,2.0,High,Relatively New Property
House,5.25,DHA Defence,10.0,5.0,6.0,2.0,2.0,High,New Property
Flat,0.9,River Garden,4.4,2.0,2.0,1.0,1.0,Medium,New Property
House,11.5,DHA Defence,20.0,7.0,3.0,1.0,1.0,High,Relatively New Property
House,3.45,FECHS,8.0,5.0,6.0,1.0,1.0,High,New Property
Flat,5.7,Diplomatic Enclave,6.9,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,0.85,DHA Defence,4.3,1.0,1.0,1.0,2.0,High,Relatively New Property
Flat,0.77,Soan Garden,3.8,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,0.85,E-11,3.1,1.0,1.0,1.0,3.0,High,Relatively New Property
House,2.0,Bani Gala,5.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
House,1.2,I-14,4.0,3.0,3.0,1.0,1.0,Medium,New Property
Flat,1.65,Gulberg,4.9,2.0,1.0,2.0,3.0,High,New Property
House,10.8,DHA Defence,20.0,5.0,5.0,2.0,3.0,High,New Property
House,9.5,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
House,10.0,DHA Defence,20.0,6.0,6.0,2.0,1.0,Low,Relatively New Property
Flat,1.15,DHA Defence,4.2,2.0,2.0,1.0,1.0,High,New Property
Flat,1.25,Bahria Town,6.1,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,1.25,Gulberg,3.9,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,2.25,Faisal Town - F-18,5.0,5.0,6.0,3.0,2.0,Low,Relatively New Property
House,18.5,F-11,26.0,6.0,6.0,2.0,6.0,High,Relatively New Property
House,2.72,Pakistan Town,5.0,4.0,5.0,2.0,1.0,High,New Property
Flat,0.39,H-13,1.3,2.0,1.0,1.0,1.0,Medium,Relatively New Property
Flat,4.0,F-10,9.3,3.0,3.0,1.0,1.0,Low,Relatively New Property
Flat,1.65,Bahria Town,7.5,3.0,3.0,1.0,1.0,High,Moderately old Property
Flat,1.6,G-15,5.5,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,2.4,Pakistan Town,5.0,4.0,5.0,3.0,2.0,Low,Relatively New Property
House,1.5,Bani Gala,5.0,6.0,6.0,3.0,2.0,High,Relatively New Property
Flat,0.52,H-13,1.8,1.0,1.0,1.0,2.0,Low,Relatively New Property
Flat,7.3,F-10,5.3,2.0,2.0,1.0,1.0,High,Relatively New Property
House,4.6,G-14,5.0,5.0,6.0,2.0,1.0,High,New Property
House,2.7,I-14,5.6,4.0,5.0,3.0,2.0,Low,Relatively New Property
House,1.45,DHA Defence,8.0,3.0,3.0,1.0,1.0,Medium,New Property
House,12.9,DHA Defence,20.0,5.0,5.0,2.0,3.0,Medium,New Property
Flat,1.5,G-15,5.5,2.0,2.0,1.0,1.0,Low,Relatively New Property
Flat,0.9,Gulberg,2.3,1.0,1.0,1.0,1.0,Low,Relatively New Property
House,36.0,F-8,36.0,5.0,6.0,2.0,7.0,High,Moderately old Property
Flat,1.65,DHA Defence,7.3,3.0,3.0,1.0,2.0,Medium,Old Property
House,1.4,H-13,5.0,3.0,3.0,2.0,1.0,High,New Property
Flat,3.65,G-11,7.3,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,2.95,E-11,8.4,3.0,4.0,2.0,1.0,Low,Moderately old Property
House,20.23,Kashmir Highway,40.0,5.0,6.0,1.0,2.0,Low,Relatively New Property
House,15.5,F-11,20.0,6.0,6.0,2.0,4.0,Low,Moderately old Property
House,9.5,DHA Defence,20.0,4.0,6.0,3.0,3.0,Medium,Moderately old Property
Flat,7.5,F-8,6.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,16.95,DHA Defence,20.0,5.0,6.0,2.0,1.0,High,Moderately old Property
Flat,13.6,F-8,11.7,3.0,4.0,1.0,3.0,High,Relatively New Property
Flat,0.87,Gulberg,2.4,1.0,1.0,1.0,1.0,High,Relatively New Property
Flat,0.79,DHA Defence,3.6,2.0,2.0,1.0,2.0,Low,Moderately old Property
Flat,1.1,E-11,4.2,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,2.58,Bahria Town,5.0,3.0,3.0,2.0,2.0,High,New Property
Flat,0.74,DHA Defence,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,10.6,DHA Defence,20.0,6.0,6.0,2.0,3.0,High,New Property
Flat,2.15,E-11,6.9,3.0,3.0,1.0,2.0,High,New Property
House,12.9,DHA Defence,20.0,5.0,3.0,1.0,1.0,High,New Property
Flat,0.62,DHA Defence,2.7,1.0,1.0,1.0,2.0,High,Relatively New Property
Flat,1.2,G-11,3.3,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,1.78,Gulberg,7.8,4.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,0.5,River Garden,2.3,1.0,1.0,1.0,1.0,High,New Property
Flat,0.2,C-18,0.9,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,0.65,I-16,4.1,2.0,2.0,1.0,2.0,High,Relatively New Property
House,3.9,C-18,20.0,6.0,6.0,2.0,2.0,Low,Relatively New Property
Flat,1.9,DHA Defence,5.6,2.0,2.0,1.0,1.0,High,Relatively New Property
House,3.5,G-13,4.0,4.0,4.0,1.0,2.0,Low,Relatively New Property
Flat,3.15,DHA Defence,12.7,3.0,4.0,1.0,1.0,Low,Relatively New Property
Flat,0.9,Gulberg,2.4,1.0,1.0,1.0,1.0,Medium,Relatively New Property
Flat,0.65,B-17,2.7,2.0,2.0,1.0,2.0,Low,Relatively New Property
Flat,3.65,G-11,9.3,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,3.95,Top City 1,10.1,7.0,6.0,3.0,2.0,Low,Relatively New Property
House,3.25,PWD Housing Scheme,10.0,4.0,5.0,1.0,1.0,Medium,New Property
Flat,2.0,E-11,5.3,2.0,2.0,1.0,1.0,High,Relatively New Property
Flat,0.45,FECHS,2.9,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,32.0,Gulberg,80.0,5.0,6.0,2.0,1.0,Medium,New Property
Flat,1.5,G-15,5.5,2.0,2.0,1.0,2.0,Medium,Relatively New Property
Flat,2.75,DHA Defence,10.0,3.0,3.0,1.0,2.0,High,New Property
Flat,1.55,DHA Defence,5.1,3.0,3.0,1.0,1.0,Low,New Property
Flat,0.31,I-12,3.2,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,19.0,F-10,26.0,7.0,6.0,3.0,2.0,Low,Relatively New Property
House,7.0,E-11,8.0,5.0,5.0,1.0,1.0,Low,Relatively New Property
Flat,0.32,B-17,1.2,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,7.5,G-14,10.9,6.0,6.0,2.0,3.0,High,New Property
Flat,2.2,F-11,7.6,2.0,2.0,1.0,1.0,Medium,Relatively New Property
Flat,1.22,Gulberg,3.9,2.0,3.0,1.0,3.0,High,New Property
House,48.0,F-6,42.0,6.0,6.0,1.0,1.0,Low,Relatively New Property
House,11.5,DHA Defence,20.0,5.0,6.0,2.0,4.0,High,New Property
Flat,0.75,Soan Garden,3.6,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,36.0,F-8,32.0,5.0,6.0,3.0,1.0,Low,Relatively New Property
Flat,0.55,National Police Foundation O-9,3.6,2.0,2.0,1.0,1.0,Low,Relatively New Property
House,13.0,DHA Defence,20.0,6.0,6.0,2.0,3.0,Medium,New Property
House,3.6,G-13,5.0,4.0,5.0,2.0,2.0,Medium,New Property
Flat,6.5,F-10,7.8,3.0,3.0,1.0,2.0,Low,Relatively New Property
House,4.3,Kuri Road,14.2,6.0,6.0,1.0,2.0,High,Moderately old Property
House,4.7,G-14,5.0,4.0,5.0,3.0,1.0,High,New Property
House,14.5,DHA Defence,20.0,5.0,5.0,1.0,3.0,High,New Property
House,10.0,DHA Defence,20.0,6.0,6.0,2.0,3.0,Medium,New Property
Flat,0.48,DHA Defence,2.8,1.0,1.0,1.0,1.0,High,Relatively New Property
House,3.4,Faisal Town - F-18,7.5,5.0,6.0,3.0,1.0,Low,Relatively New Property
Flat,3.25,G-11,7.1,2.0,2.0,2.0,6.0,High,Relatively New Property
Flat,2.4,DHA Defence,10.0,3.0,4.0,2.0,2.0,Low,New Property
Flat,0.46,I-16,4.1,2.0,2.0,1.0,1.0,Medium,New Property
Flat,2.2,G-15,8.5,3.0,3.0,1.0,3.0,Medium,New Property
House,9.0,G-9,14.2,6.0,6.0,1.0,3.0,High,Relatively New Property
House,15.2,D-12,14.2,5.0,6.0,2.0,3.0,High,Relatively New Property
House,4.15,Pakistan Town,20.0,4.0,4.0,3.0,2.0,Low,Relatively New Property
Flat,2.65,F-11,5.8,2.0,2.0,1.0,1.0,Medium,Relatively New Property
House,1.6,H-13,5.0,3.0,4.0,1.0,1.0,High,Relatively New Property
House,40.0,F-11,40.0,6.0,6.0,2.0,6.0,Low,Old Property
Flat,14.0,F-11,22.0,3.0,4.0,1.0,2.0,Low,Moderately old Property
Flat,15.0,Diplomatic Enclave,10.5,3.0,4.0,1.0,1.0,Medium,New Property
Flat,1.36,B-17,5.1,2.0,2.0,1.0,1.0,High,New Property
Flat,0.22,Multi Residencia & Orchards,1.1,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,12.0,Bani Gala,44.0,5.0,5.0,2.0,3.0,Low,Moderately old Property
House,4.19,DHA Defence,5.0,4.0,4.0,3.0,2.0,High,Relatively New Property
House,4.3,G-9,5.6,2.0,2.0,2.0,1.0,Medium,New Property
House,2.25,Soan Garden,9.0,3.0,3.0,1.0,1.0,High,New Property
Flat,3.35,G-15,7.2,3.0,3.0,2.0,3.0,High,Relatively New Property
House,12.5,DHA Defence,20.0,5.0,6.0,2.0,3.0,High,New Property
Flat,0.39,H-13,1.3,2.0,1.0,1.0,2.0,Low,Relatively New Property
House,5.5,Bahria Town,10.0,5.0,6.0,1.0,1.0,Medium,New Property
House,4.25,D-12,4.4,3.0,4.0,2.0,1.0,Low,New Property
Flat,2.16,B-17,6.0,2.0,2.0,1.0,2.0,Medium,Relatively New Property
House,18.0,I-8,24.0,9.0,3.0,3.0,6.0,High,Old Property
Flat,2.5,F-11,6.2,2.0,2.0,1.0,1.0,High,Old Property
Flat,2.0,Bahria Town,10.9,3.0,3.0,1.0,1.0,Medium,New Property
Flat,1.05,Bahria Town,3.8,2.0,2.0,1.0,2.0,Low,Relatively New Property
House,43.0,F-7,26.0,6.0,6.0,2.0,1.0,High,New Property
Flat,1.5,E-11,8.4,2.0,2.0,1.0,4.0,Low,Relatively New Property
House,2.65,I-14,7.0,2.0,2.0,1.0,1.0,Medium,Relatively New Property
Flat,4.25,E-11,10.1,3.0,3.0,1.0,5.0,Medium,New Property
House,13.5,G-10,17.8,5.0,6.0,2.0,2.0,High,Relatively New Property
Flat,0.76,Bahria Town,2.2,1.0,1.0,1.0,2.0,Low,Relatively New Property
House,21.0,F-10,26.0,8.0,6.0,1.0,1.0,High,Moderately old Property
House,12.9,DHA Defence,20.0,5.0,6.0,2.0,4.0,Medium,New Property
House,7.0,Top City 1,20.0,5.0,6.0,3.0,2.0,High,Relatively New Property
Flat,0.85,Gulberg,2.3,1.0,1.0,2.0,1.0,High,New Property
House,65.0,F-8,72.0,5.0,6.0,1.0,10.0,High,Moderately old Property
House,3.5,I-14,6.0,5.0,6.0,3.0,1.0,High,New Property
House,2.35,Kuri Road,8.0,5.0,6.0,1.0,1.0,Low,Relatively New Property
Flat,1.4,GT Road,4.2,2.0,2.0,1.0,1.0,High,New Property
House,4.25,D-12,4.0,4.0,5.0,2.0,1.0,Low,Relatively New Property
Flat,8.8,Karakoram Enclave 1,16.9,4.0,4.0,1.0,3.0,High,New Property
Flat,1.5,G-13,9.1,3.0,3.0,0.0,0.0,High,Relatively New Property
Flat,1.1,DHA Defence,4.9,3.0,3.0,1.0,2.0,Low,Moderately old Property
Flat,8.62,Karakoram Diplomatic Enclave,8.5,2.0,3.0,1.0,1.0,Medium,Moderately old Property
House,2.8,Bahria Town,8.0,3.0,4.0,1.0,1.0,High,New Property
House,25.0,F-11,26.0,6.0,6.0,2.0,6.0,High,New Property
House,1.25,DHA Defence,8.0,3.0,4.0,1.0,1.0,High,New Property
House,2.5,Bahria Town,6.0,3.0,3.0,1.0,1.0,Medium,New Property
House,0.95,Ghauri Town,5.0,2.0,2.0,3.0,5.0,Low,New Property
House,15.5,G-13,20.0,6.0,6.0,2.0,1.0,Low,New Property
House,12.5,DHA Defence,20.0,6.0,6.0,3.0,2.0,Low,Relatively New Property
House,12.5,I-8,14.2,8.0,6.0,2.0,4.0,Medium,Old Property
Flat,1.55,DHA Defence,6.7,3.0,3.0,1.0,2.0,High,Relatively New Property
House,9.5,DHA Defence,20.0,6.0,6.0,3.0,2.0,High,Relatively New Property
House,6.5,G-14,9.0,6.0,6.0,2.0,1.0,Low,New Property
House,32.0,F-8,26.0,6.0,6.0,2.0,4.0,High,New Property
House,26.0,DHA Defence,32.0,6.0,6.0,2.0,2.0,Medium,Relatively New Property
House,8.7,G-9,14.2,6.0,6.0,2.0,3.0,High,Old Property
House,1.2,H-13,7.0,2.0,3.0,3.0,1.0,Low,Relatively New Property
Flat,4.5,F-11,11.6,3.0,3.0,1.0,2.0,High,Relatively New Property
House,8.5,Bahria Town,30.0,5.0,5.0,2.0,3.0,Medium,New Property
House,3.2,B-17,8.0,5.0,6.0,2.0,2.0,Low,New Property
House,10.5,DHA Defence,20.0,6.0,6.0,1.0,1.0,High,Relatively New Property
House,18.0,F-10,20.0,6.0,6.0,2.0,5.0,High,Old Property
House,7.75,Bani Gala,30.0,8.0,3.0,2.0,5.0,Medium,New Property
House,1.9,FECHS,7.0,2.0,3.0,1.0,2.0,Low,Relatively New Property
